QuesSimText,AnsSimText,Position Title,topic,cluster,positive_percentage,BU,Experience,Attr 3,Age,Attr 5,City,Attr7*
如何才能在Lab工作的每一天都有好心情,每天都有好心情似乎不太现实，在哪个公司都不太可能，心态放平和就好,Technical Support Professional,work,0.0,1.0,BU11,3.0,1.0,a3,1.0,Beijing,S4
你最想在工作上做的一个转变（Transformation）是什么，不限于职业规划的转变，可以扩展到你的知识技能体系，工作习惯，沟通管理方式等方面的转变,提升专注度和效率,Technical Support Professional,transformation,11.0,1.0,BU11,3.0,1.0,a3,1.0,Beijing,S4
你最想在工作上做的一个转变（Transformation）是什么，不限于职业规划的转变，可以扩展到你的知识技能体系，工作习惯，沟通管理方式等方面的转变,涨工资,Technical Support Professional,transformation,11.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
先客观地问自己，我对目前整体的团队氛围满意吗？,卡拉ok,Technical Support Professional,team,5.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
先客观地问自己，我对目前整体的团队氛围满意吗？,"卡拉ok, 对团队活动能接受aa",Technical Support Professional,team,5.0,1.0,BU11,3.0,1.0,a3,1.0,Beijing,S4
让你留在IBM的三个原因是什么？,values (ibm的价值观),Technical Support Professional,IBM,3.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
你觉得这次使用API来回答问题的活动怎么样? 有culture transformation的感觉吗?,原来用get /answers这个api可以获取某一个问题的所有回答，还不错,Technical Support Professional,jam/api/openwhisk,13.0,1.0,BU11,3.0,1.0,a3,1.0,Beijing,S4
你觉得这次使用API来回答问题的活动怎么样? 有culture transformation的感觉吗?,没体会到什么cultrue transformation的感觉,Technical Support Professional,jam/api/openwhisk,13.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
你用的最多的开源项目是什么？ （Tomcat， Hibernate， Spring， jQuery， etc.）,openstack,Technical Support Professional,open source,9.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S4
过去一周里工作中最让你有成就感的事是什么？,第一次完成一个客户的o2c流程,Software Developer,work,0.0,0.5,BU11,3.0,0.0,a3,0.0,Beijing,S10
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,作为一家科技公司，应该是技术先导，而不是跟随别人。用积累的技术更好的服务客户来创造利润。,Software Developer,transformation,11.0,1.0,BU11,3.0,1.0,a3,1.0,Beijing,S12
你认为你所在的产品或项目最需要什么人才，才能够成功？为什么？比如，深刻理解市场的产品经理，技术大牛，开发，测试，运维，销售等等？,需要具体做事，把事情交给他能拿到结果的人，而不是仅仅指挥别人做事的人。,Software Developer,project,4.0,0.5,BU11,3.0,1.0,a3,1.0,Beijing,S12
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,技术。如果技术不领先，谈何满足客户需求。技术足够领先的情况下，甚至可以创造客户需求。,Information Architect,transformation,11.0,0.75,BU11,2.0,1.0,a1,1.0,Beijing,S0
你希望工作环境发生的一个小改变是什么？,希望速溶咖啡有黑咖啡，比如雀巢醇品，不但比三合一还便宜，而且更健康,Information Architect,environment+agile,10.0,1.0,BU11,2.0,1.0,a1,1.0,Beijing,S0
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,有损失赔偿啊，大禹治水，堵不如疏，放任也不可能，应该制定相关规则。别跟某国政府似的，出事儿就禁止。,Software Developer,company management,1.0,0.0,BU12,4.0,1.0,a4,1.0,Beijing,S11
工程师的日常生活里，你觉得甚么最需要去改变？(e.g. 工作态度，社交活动，生活习惯，创新思考，保持热忱... 等，请自由发挥),人生该怎么过， 另外怎么感觉有人同样的答案刷分而已。。。,Software Developer,engineer,6.0,0.5,BU12,4.0,1.0,a4,1.0,Beijing,S11
你喜欢下午茶吗?请列出你喜欢的种类，或许不久公司会实现哦,铁观音,Software Developer,company management,1.0,0.5,BU12,4.0,1.0,a4,1.0,Beijing,S11
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,太小的孩子有可能会有问题。对于稍大的孩子有一定的自控能力，还是可以带进公司的。,Software Developer,company management,1.0,1.0,BU12,4.0,1.0,a3,1.0,Xi'an,S10
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,每天至少一个小时,Software Developer,learn+technique,8.0,0.5,BU12,3.0,1.0,a4,1.0,Beijing,S8
说到工程师文化，你想到的前三个词是什么？例如： 自由，效率，平等，尊重，信任，创新，简化流程，快速迭代，一切以解决问题为导向等等,分享，信任，创新,Software Developer,engineer,6.0,1.0,BU12,3.0,1.0,a4,1.0,Beijing,S8
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,item 3 is selected,Software Developer,company management,1.0,0.5,BU12,3.0,1.0,a2,1.0,Xi'an,S8
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,建议签署格式协议，规避相关伤害风险，统一将孩子集中在固定区域，对于有娃一族，能理解偶尔带孩子来公司，但公司目前确实缺少相关明确的规范制度和工作流程。,Software Performance Analyst,company management,1.0,0.5,BU12,2.0,1.0,a4,1.0,Beijing,S2
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",量子计算,Software Developer,IBM,3.0,0.5,BU12,2.0,1.0,a3,0.0,Xi'an,S7
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,我觉得挺好的啊，办公室看见小朋友很有爱。当然，如果能组织小朋友们雇佣专人看护就更好了，我相信大部分同事交钱也愿意的。,Software Developer,company management,1.0,1.0,BU12,2.0,1.0,a2,0.0,Beijing,S6
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,可以带孩子来上班，建议把需要在公司的孩子统一管理起来，建立几个孩子角，让宝宝可以学习或者娱乐。可以员工中寻找志愿者，帮着管理孩子。,Software Developer,company management,1.0,1.0,BU12,2.0,1.0,a2,0.0,Xi'an,S4
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,可以腾出一间会议室设计成小书屋，专门供在公司的小朋友呆的地方,Software Test Specialist,company management,1.0,1.0,BU12,2.0,1.0,a2,0.0,Xi'an,S7
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,开辟专门的地方来给娃，这样集中管理,Software Developer,company management,1.0,1.0,BU12,2.0,1.0,a2,1.0,Xi'an,S9
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,带孩子过来可以理解，只是希望某些家长不要以 “你们有孩子了就懂了” 为理由，让这件事变成理所当然的，打扰别人就是打扰了别人，在任何场合都一样。,Software Developer,company management,1.0,0.25,BU12,2.0,1.0,a1,1.0,Beijing,S1
你觉得 IBM 最需要改变的文化是什么?,test answer.,Software Developer,IBM,3.0,0.5,BU12,1.0,1.0,a1,1.0,Beijing,S1
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,5h per week,Customer / Partner Engagement,learn+technique,8.0,0.5,BU13,4.0,0.0,a6,0.0,Shanghai,S18
你希望工作环境发生的一个小改变是什么？,曾在招行数据中心出差， 发现他们会定点放眼保健操和广播体操的音乐，大部分人养成习惯做操。 长期养成这样的习惯，无疑对预防我们工程师颈椎、腰椎和视力问题会大大有益，并且也彰显公司对员工的关心,Customer / Partner Engagement,environment+agile,10.0,1.0,BU13,4.0,0.0,a6,0.0,Shanghai,S18
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,每月5个小时,Technical Support Professional,learn+technique,8.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
说到工程师文化，你想到的前三个词是什么？例如： 自由，效率，平等，尊重，信任，创新，简化流程，快速迭代，一切以解决问题为导向等等,"自由,高效,精益求精",Technical Support Professional,engineer,6.0,1.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
你希望工作环境发生的一个小改变是什么？,大家都付起责任，日行一善，争取让问题到我为止,Technical Support Professional,environment+agile,10.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
你觉得IBM是技术导向的么？,我们自我认识是技术导向，可是业界不怎么认同，因为太多卖钱的技术代码都是封闭的 :( 我觉得算是业务导向的,Technical Support Professional,IBM,3.0,0.3333333333333333,BU13,3.0,1.0,a3,1.0,Beijing,S9
如何才能在Lab工作的每一天都有好心情,微笑面对每一个遇到的人，少接触负面信息，在工作中寻找、分享点滴快乐,Technical Support Professional,work,0.0,0.6666666666666666,BU13,3.0,1.0,a3,1.0,Beijing,S9
你心目中的技术大牛是谁？那项技术？为什么？,15年前设计开发domino 代理的julie kadashevich，还有现在domino 开发 lead:mike killoran，对产品很负责任，视同己出,Technical Support Professional,technique,2.0,1.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
Do you love IBM?,当然，不然早就走了,Technical Support Professional,IBM,3.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
先客观地问自己，我对目前整体的团队氛围满意吗？,记得《实习生》里每当收到客户的满意评价，办公室会响起欢快的铃声，我们也可以仿效。还有生日蛋糕，一年买它12个，也花不了太多钱。,Technical Support Professional,team,5.0,1.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
让你留在IBM的三个原因是什么？,明确的发展方向，友善的领导，关键时刻团结的队伍,Technical Support Professional,IBM,3.0,1.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
你觉得开源软件会带给企业什么改变？,钱从哪里来？,Technical Support Professional,open source,9.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
What u like the most about the work and what you hate the most?,i love to share things and hate people pushing back when they have more work than others,Technical Support Professional,work,0.0,0.525,BU13,3.0,1.0,a3,1.0,Beijing,S9
在你的工作范畴中，有可以接触到的技术大牛吗？是谁？,白炯心，李菲，这两位都是lotus万事ok的前辈大牛,Technical Support Professional,work+technique,7.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
你有机会应用你喜欢的技术到你的日常开发中吗？,目前没有机会涉及开发，有时间要练习前端jquery框架和python做数据爬虫,Technical Support Professional,technique,2.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
最近一个月，哪件上班时发生的小事让你觉得苦恼？,有个很卖力的同事得了癌症，还在三次化疗,Technical Support Professional,work,0.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
你希望公司管理层（BUE及以上，包括CDL或CDL外）应该继续做什么（keep doing）？,定期与基层员工座谈，了解心声民意，传递正面积极的声音,Technical Support Professional,company management,1.0,1.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
你是否有过开会厌烦症？让你厌烦开会的原因有哪些？,开始时间过了前面的人不走，该来的人不来，到结束时间了不能按时结束,Technical Support Professional,others,12.0,0.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
你们团队最近一次对技术方案的热烈讨论是什么时候？,不定期的讨论交流经常都有吧，1个月内,Technical Support Professional,team,5.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
阻碍你每天能够高效完成工作的原因有哪些?,同事时常跑过来问问题，不管我是不是在忙,Technical Support Professional,work,0.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
为了保证源代码的安全性，你有什么建议或者办法？ ,我不知道，我被scmon误伤过,Technical Support Professional,others,12.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
你喜欢下午茶吗?请列出你喜欢的种类，或许不久公司会实现哦,水果，蛋糕，甜点,Technical Support Professional,company management,1.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
我们怎么做能够帮助IBM成功？,瞄准公司战略转型的需要，坚持学习积蓄力量，时刻准备贡献,Technical Support Professional,IBM,3.0,1.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
"你觉得现在的工作量分配,是否没有办法让你在正常的工时中保留创新的时间,而必须利用个人时间才能进行创新?",是，但这不是问题，keep personal interest也就意味着要把在家的时间用来学习和创新,Technical Support Professional,work,0.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
新技术的学习，目前有什么可以推荐的，谢谢！,从目标职位的job description开始，按照自己的短板，去your learning看看有没有什么可以学习的,Technical Support Professional,learn+technique,8.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
你觉得 IBM 最需要改变的文化是什么?,必须改变画地为牢，事不关己高高挂起的心态，用户和合作伙伴不要听你讲流程、局限性，只要尽力帮助得到他们想要的结果,Technical Support Professional,IBM,3.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
What comprises an organization's culture?,员工受到关注，被认可的行为,Technical Support Professional,company management,1.0,1.0,BU13,3.0,1.0,a3,1.0,Beijing,S9
抛开优势不谈，您认为我们BU目前有什么不足？您有何建议？,两个产品线integration的问题，常常会被推来推去,Technical Support Professional,company management,1.0,0.5,BU13,3.0,1.0,a3,1.0,Beijing,S9
工程师的日常生活里，你觉得甚么最需要去改变？(e.g. 工作态度，社交活动，生活习惯，创新思考，保持热忱... 等，请自由发挥),保持好奇，坚持锻炼，跳出固定思维,Technical Support Professional,engineer,6.0,1.0,BU13,3.0,0.0,a2,0.0,Beijing,S10
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,技术更重要，人家客户看中的还是你的技术,Technical Support Professional,transformation,11.0,1.0,BU13,1.0,1.0,a1,1.0,Beijing,S3
说到工程师文化，你想到的前三个词是什么？例如： 自由，效率，平等，尊重，信任，创新，简化流程，快速迭代，一切以解决问题为导向等等,"integrity, innovation, revenue",,engineer,6.0,0.5,BU14,6.0,0.0,a6,1.0,Beijing,
你希望工作环境发生的一个小改变是什么？,提升食堂的质量,Software Developer,environment+agile,10.0,1.0,BU15,4.0,1.0,a3,0.0,Beijing,S11
"David Kenny在上午的TownHall上说""Powerpoint is neither powerful or pointed"". 你怎么看？",少做ppt多写代码,Software Developer,others,12.0,0.0,BU15,4.0,1.0,a3,0.0,Beijing,S11
你有机会应用你喜欢的技术到你的日常开发中吗？,有机会,Software Developer,technique,2.0,0.5,BU15,4.0,1.0,a3,0.0,Beijing,S11
你的产品使用的技术是你感兴趣的么？,很感兴趣，非常有潜力的技术。,Software Developer,technique,2.0,0.5,BU15,4.0,1.0,a3,0.0,Beijing,S11
你认为你所在的产品或项目最需要什么人才，才能够成功？为什么？比如，深刻理解市场的产品经理，技术大牛，开发，测试，运维，销售等等？,  各方面的人才都需要，而且需要顶级人才。,Software Developer,project,4.0,1.0,BU15,3.0,1.0,a3,1.0,Beijing,S2
"David Kenny在上午的TownHall上说""Powerpoint is neither powerful or pointed"". 你怎么看？",it depends,Software Developer,others,12.0,0.5,BU15,3.0,1.0,a3,1.0,Beijing,S2
工程师的日常生活里，你觉得甚么最需要去改变？(e.g. 工作态度，社交活动，生活习惯，创新思考，保持热忱... 等，请自由发挥),dare to speak up and challenge authorities,Functional Manager,engineer,6.0,0.5,BU2,6.0,0.0,a5,0.0,Shanghai,S19
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",3 top things i think important from r&d perspective: 1. speed to market 2. differentiated product 3. right leaders,Functional Manager,IBM,3.0,0.6976190476190476,BU2,6.0,0.0,a5,0.0,Shanghai,S19
你希望工作环境发生的一个小改变是什么？,holiday look&feel for each traditional chinese holiday and modern western ones,Functional Manager,environment+agile,10.0,0.525,BU2,6.0,0.0,a5,0.0,Shanghai,S19
你觉得IBM是技术导向的么？,"no, more business oriented.",Functional Manager,IBM,3.0,0.375,BU2,6.0,0.0,a5,0.0,Shanghai,S19
IT产业正在进行巨大的变革，IBM正在经历必须胜利的转型，作为一个IBMer，具体到你的产品项目中，你认为自己可以做什么样的努力和转变呢？从而帮助你的产品更加成功，帮助CDL转型成功， 帮助IBM转型成功！,"as product lab, we definitely hold the responsiblity to build up best cloud and cognitive solutions for ibm, no excuse: 1. equip ourseleves with open technologies 2. develope and accelerate cloud ops experience 3. drive data science into each offering",Functional Manager,transformation,11.0,0.628125,BU2,6.0,0.0,a5,0.0,Shanghai,S19
你觉得这次使用API来回答问题的活动怎么样? 有culture transformation的感觉吗?,"a challenge of traditional way, a test if people do care culture transformation, a pilot if people truly see/believe the value of grass root",Functional Manager,jam/api/openwhisk,13.0,0.5,BU2,6.0,0.0,a5,0.0,Shanghai,S19
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,at least 1hr per day,Software Release Manager,learn+technique,8.0,0.35,BU2,5.0,0.0,a4,0.0,Shanghai,S18
你希望工作环境发生的一个小改变是什么？,family day with fun activities to foster better connection among team and their significant others,Software Release Manager,environment+agile,10.0,0.6958333333333333,BU2,5.0,0.0,a4,0.0,Shanghai,S18
What is the most challenging thing in your work in the past 6 months?,significant top down product strategy change,Software Release Manager,work,0.0,0.6199074074074074,BU2,5.0,0.0,a4,0.0,Shanghai,S18
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,不建议小朋友呆在工作区域，可以考虑提供单独的场所。,Project Manager,company management,1.0,0.5,BU2,5.0,0.0,a4,1.0,Beijing,S17
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",真正好的产品，以用户和产品为核心,Project Manager,IBM,3.0,0.5,BU2,5.0,0.0,a4,1.0,Beijing,S17
你认为你所在的产品或项目最需要什么人才，才能够成功？为什么？比如，深刻理解市场的产品经理，技术大牛，开发，测试，运维，销售等等？,深刻理解市场的产品经理,Project Manager,project,4.0,0.5,BU2,5.0,0.0,a4,1.0,Beijing,S17
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,"1~2 hours a week. i don't have much time dedicate to learning new stuff, mainly learning through hands-on.",Software Release Manager,learn+technique,8.0,0.5838383838383838,BU2,4.0,1.0,a5,0.0,Shanghai,S18
你希望工作环境发生的一个小改变是什么？,"less multi-tasking, more focus",Software Release Manager,environment+agile,10.0,0.5833333333333334,BU2,4.0,1.0,a5,0.0,Shanghai,S18
如何才能在Lab工作的每一天都有好心情,working like a team make me feel good,Software Architect,work,0.0,0.85,BU2,4.0,1.0,a4,0.0,Beijing,S8
你最想在工作上做的一个转变（Transformation）是什么，不限于职业规划的转变，可以扩展到你的知识技能体系，工作习惯，沟通管理方式等方面的转变,把脑子里那个及时行乐的猴子干掉或者让它睡的时间长点，别时不时跑出来捣乱（https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator）,Software Architect,transformation,11.0,0.5,BU2,4.0,1.0,a4,0.0,Beijing,S8
Any ideas on team building in Sep? To enjoy BJ's autumn,骑马打猎吃羊，观月赏秋唱歌,Software Architect,team,5.0,0.5,BU2,4.0,1.0,a4,0.0,Beijing,S8
"程序是有生命的，你多久重构一次代码?  比如：一周一次，一月一次，半年一次, 从不？",代码重构对wcs来说，就像给一个垂垂老矣的病人做手术，不动吧估计就要病入膏肓了，动吧并发症难以控制。这是一个很难的抉择，往往不以程序员的意愿为主导。如何保持这么古老产品的活力？代码重构还是另起炉灶，改良还是革命？需要大家一起来摸索吧。,Software Architect,others,12.0,0.6666666666666666,BU2,4.0,1.0,a4,0.0,Beijing,S8
请问你使用API批量回答问题，有成功吗？,调用失败,Software Architect,jam/api/openwhisk,13.0,0.0,BU2,4.0,1.0,a4,0.0,Beijing,S8
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",我能多招一些人才过来,Software Developer,IBM,3.0,0.5,BU2,4.0,0.0,a3,1.0,Shanghai,S10
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,2 hours per week,Software Developer,learn+technique,8.0,0.5,BU2,4.0,0.0,a3,1.0,Shanghai,S10
你希望工作环境发生的一个小改变是什么？,多一些funding装饰我们的space,Software Developer,environment+agile,10.0,0.5,BU2,4.0,0.0,a3,1.0,Shanghai,S10
你觉得IBM是技术导向的么？,yes,Software Developer,IBM,3.0,0.5,BU2,4.0,0.0,a3,1.0,Shanghai,S10
What u like the most about the work and what you hate the most?,like most:,Software Developer,work,0.0,0.75,BU2,4.0,0.0,a3,1.0,Shanghai,S10
What u like the most about the work and what you hate the most?,like most: 在工作中与同事一起学习和成长 ; hate most: 对不合理的制度无可奈何,Software Developer,work,0.0,0.0,BU2,4.0,0.0,a3,1.0,Shanghai,S10
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,hehehe,Software Developer,company management,1.0,0.5,BU2,4.0,1.0,a3,1.0,Shanghai,S11
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,满足客户需求保证现在能挣钱，保持技术领先保证将来能挣钱。一样重要,Software Developer,transformation,11.0,1.0,BU2,4.0,1.0,a3,1.0,Shanghai,S11
CDL办公室管理的挑战：工作日有小朋友跟着家长来上班。一方面，学校放假期间小朋友不能自己呆在家里没有成年人照顾，这对家长来说是很难解决的问题。另一方面，实验室的工作环境和性质对 security 有很高的要求，不适合小朋友逗留。另外，小朋友的嘻闹会影响同事的工作，也时有发生小朋友损坏办公设备的情况，比如在昂贵的投影幕布上用马克笔涂涂画画。最重要的是，小朋友在办公区活动也有很大的安全隐患，比如摔伤、磕碰等等。综上，在这里想听听大家对这一问题的看法和建议。 ,最好是能有个固定的地方让小朋友待在一起，然后有志愿者能帮忙照顾,Software Developer,company management,1.0,1.0,BU2,4.0,0.0,a3,1.0,Shanghai,S11
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,经常会在项目空一点的时间集中上一些在线的课每天学1小时，2周内学完，忙的时候就偶尔会关注一些新技术，时间不定,Software Developer,learn+technique,8.0,1.0,BU2,4.0,1.0,a3,1.0,Shanghai,S12
你希望工作环境发生的一个小改变是什么？,讨论区有个投影电视屏幕,Software Developer,environment+agile,10.0,0.5,BU2,4.0,1.0,a3,1.0,Shanghai,S12
在工作中，觉得哪些技术是在外界都在使用，而我们却没有利用的,ibm需要在拥抱开源和满足企业级用户市场的稳定性需求之间寻找平衡点，要做到能驾驭开源才是真正做到惠及企业客户群,Software Designer,work+technique,7.0,1.0,BU2,4.0,0.0,a3,1.0,Beijing,S11
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",钻营核心技术，而非商业模式。,Software Architect,IBM,3.0,0.5,BU2,4.0,1.0,a3,1.0,Beijing,S13
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,8小时左右吧,Software Architect,learn+technique,8.0,0.5,BU2,4.0,1.0,a3,1.0,Beijing,S13
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,~5小时,Software Architect,learn+technique,8.0,0.5,BU2,4.0,1.0,a2,1.0,Shanghai,S9
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,相辅相成,Software Architect,transformation,11.0,0.5,BU2,4.0,1.0,a2,1.0,Shanghai,S9
说到工程师文化，你想到的前三个词是什么？例如： 自由，效率，平等，尊重，信任，创新，简化流程，快速迭代，一切以解决问题为导向等等,"创新, 高效, 行动为先",Software Architect,engineer,6.0,1.0,BU2,4.0,1.0,a2,1.0,Shanghai,S9
